config,k,p_k,q_k,swap_acceptance_to_k_plus_1,winding_acceptance_rate_mean,winding_accepted_per_chain_mean,winding_attempted_per_chain_mean,sector_flips_per_chain_mean,sector_flip_rate_per_diagnostic_interval,chains_with_sector_flip,num_chains,diagnostic_samples_mean,diagnostic_stride,num_measurements
F_pilot2_capped_qhot044_m512,9,0.30473288514192015,0.3353231242375447,0.16907261592300962,0.00943393360552153,776.375,82296.0,382.625,0.7487769080234832,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,10,0.32775098777191436,0.35528752246570383,0.246172353455818,0.026769223291533,2203.0,82296.0,383.5,0.7504892367906066,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,11,0.3485006459513705,0.37309735384189924,0.32693569553805774,0.05683447555166715,4677.25,82296.0,385.875,0.7551369863013699,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,12,0.3669825007064291,0.38883351980650244,0.4151902887139107,0.09962665257120637,8198.875,82296.0,374.0,0.7318982387475539,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,13,0.383366808006227,0.40269798205849583,0.47238626421697294,0.15391240157480313,12666.375,82296.0,381.5,0.7465753424657534,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,14,0.39787114273779217,0.41491375214831616,0.5365266841644795,0.2145730047632935,17658.5,82296.0,383.625,0.7507338551859101,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,15,0.41066470315457587,0.42564976368641405,0.4135498687664042,0.2804070064158647,23076.375,82296.0,380.875,0.7453522504892367,8,8,512.0,1,512
F_pilot2_capped_qhot044_m512,16,0.42782281437498615,0.43999999999999995,,0.386536101390104,31810.375,82296.0,380.125,0.7438845401174168,8,8,512.0,1,512
I_pilot3_qhot032_wr1_m128,0,0.05000000000000001,0.08000000000000002,0.808300395256917,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,1,0.06089085027766174,0.09369542304279663,0.7747035573122529,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,2,0.0729633685509879,0.10826739206030414,0.7358366271409749,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,3,0.08612040338074055,0.12355502105019264,0.7108036890645586,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,4,0.10023403916322415,0.13938654934025893,0.6742424242424243,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,5,0.11515281272540166,0.15558735970110701,0.605072463768116,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,6,0.13070985563006426,0.1719871067389061,0.5438076416337286,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,7,0.146731153249344,0.18842555214865583,0.480566534914361,3.6597862684819206e-05,1.0,27324.0,0.0,0.0,0,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,8,0.16304322119019324,0.2047569127894798,0.3810935441370224,3.6597862684819206e-05,1.0,27324.0,1.0,0.007874015748031496,2,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,9,0.17947968176590667,0.22085271061574663,0.3313570487483531,3.6597862684819206e-05,1.0,27324.0,5.0,0.03937007874015748,4,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,10,0.19588643394366193,0.23660325120917824,0.27667984189723316,3.6597862684819206e-05,1.0,27324.0,10.5,0.0826771653543307,4,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,11,0.21212531086375094,0.2519179441722128,0.24209486166007904,4.5747328356024006e-05,1.25,27324.0,25.5,0.20078740157480315,4,4,128.0,1,128
I_pilot3_qhot032_wr1_m128,12,0.22807628295184862,0.2667247181192231,0.21673254281949933,2.7448397013614406e-05,0.75,27324.0,45.0,0.3543307086614173,4,4,128.0,1,128
